,Id,City,Latitude,Longitude,Temperature(Max(F)),Humidity,Cloudiness,Wind Speed(mph)
0,4372777,Vardo,39.62,-77.74,76.1,65,1,5.82
1,3424901,Aasiaat,68.71,-52.87,45.5,87,0,6.33
2,1015776,Bredasdorp,-34.53,20.04,53.6,87,92,4.7
3,4030556,Rikitea,-23.12,-134.97,72.59,100,32,13.94
4,4267710,Sitka,37.17,-99.65,87.17,58,0,8.34
5,6185377,Yellowknife,62.45,-114.38,62.6,55,75,12.75
6,5367788,Lompoc,34.64,-120.46,77.38,69,1,13.87
7,3453439,Ponta do Sol,-20.63,-46.0,68.54,40,0,3.65
8,1337605,Mahibadhoo,3.78,72.97,82.62,100,68,12.03
9,2022572,Khatanga,71.98,102.47,52.34,96,24,5.88
10,6165406,Thompson,55.74,-97.86,62.6,45,75,5.82
11,1490256,Talnakh,69.49,88.39,45.01,94,92,12.03
12,4031742,Egvekinot,66.32,-179.17,42.12,95,88,11.25
13,964432,Port Alfred,-33.59,26.89,62.87,87,68,12.59
14,2155415,New Norfolk,-42.78,147.06,48.2,61,20,11.41
15,1847947,Shingu,33.72,135.99,81.81,99,32,5.21
16,1862505,Hirara,24.8,125.28,83.25,100,68,6.44
17,5961417,Husavik,50.56,-96.99,92.97,53,8,10.92
18,2126710,Beringovskiy,63.05,179.32,48.74,98,0,17.74
19,3588476,Tecpan,14.76,-90.99,77.0,53,40,16.11
20,491029,Solginskiy,61.05,41.34,61.25,97,92,19.86
21,5848280,Kapaa,22.08,-159.32,82.4,78,75,13.87
22,1852357,Shimoda,34.7,138.93,80.87,97,48,13.04
23,546105,Nikolskoye,59.7,30.79,57.2,93,20,6.71
24,2109528,Buala,-8.15,159.59,76.5,100,92,11.03
25,2173911,Broken Hill,-31.97,141.45,40.41,94,0,8.46
26,3418910,Upernavik,72.79,-56.15,41.58,91,64,5.44
27,1014034,Carnarvon,-30.97,22.13,36.05,39,36,6.22
28,3369157,Cape Town,-33.93,18.42,53.6,93,75,1.12
29,3448903,Sao Joao da Barra,-21.64,-41.05,78.8,47,0,9.17
30,3691954,Sechura,-5.56,-80.82,72.14,79,0,12.03
31,6138908,Saint-Philippe,45.36,-73.48,82.78,42,1,6.93
32,2064735,Nhulunbuy,-12.18,136.78,73.4,56,0,11.41
33,2075265,Busselton,-33.64,115.35,61.75,94,0,21.09
34,6156102,Steinbach,49.53,-96.69,93.2,49,5,17.22
35,3874787,Punta Arenas,-53.16,-70.91,42.8,70,0,10.29
36,3996234,Lazaro Cardenas,28.39,-105.62,75.2,57,75,5.99
37,2160063,Codrington,-28.95,153.24,37.54,78,0,2.64
38,6201424,Mataura,-46.19,168.86,42.8,77,88,4.99
39,4020109,Atuona,-9.8,-139.03,80.65,97,48,14.83
40,3689611,Nechi,5.59,-75.16,84.02,42,24,2.64
41,1052944,Angoche,-16.23,39.91,76.6,100,0,9.69
42,2015306,Tiksi,71.64,128.87,58.82,79,8,4.76
43,5880568,Bethel,60.79,-161.76,55.4,93,90,14.99
44,2112802,Hasaki,35.73,140.83,75.76,100,75,3.36
45,2508813,Adrar,27.87,-0.29,104.0,21,76,29.97
46,2175403,Bluff,-23.58,149.07,44.82,37,0,11.81
47,3141667,Roald,62.58,6.12,54.86,81,20,3.36
48,2163355,Hobart,-42.88,147.33,48.2,61,20,11.41
49,780687,Berlevag,70.86,29.09,46.26,93,75,16.11
50,3833859,Barrow,-38.31,-60.23,60.4,67,12,7.34
51,1496073,Orlik,52.51,99.83,37.4,81,0,1.74
52,5106834,Albany,42.65,-73.75,74.46,69,90,6.93
